2026-04-09T16:06:05.756058Z  INFO semver_analyzer::orchestrator: Running dep repo build command command=source ~/.nvm/nvm.sh && nvm exec "20.11.0" bash -c 'export NODE_ENV=development && yarn install && npx gulp buildPatternfly' worktree=/private/tmp/semver-pipeline-v2/repos/patternfly/.semver-worktrees/v6.4.0
2026-04-09T16:06:06.856721Z  WARN semver_analyzer::orchestrator: Dep repo build failed exit_code=Some(1) stderr=error This project's package.json defines "packageManager": "yarn@4.10.3". However the current global version of Yarn is 1.22.22.

Presence of the "packageManager" field indicates that the project is meant to be used with Corepack, a tool included by default with all official Node.js distributions starting from 16.9 and 14.19.
Corepack must currently be enabled by running corepack enable in your terminal. For more information, check out https://yarnpkg.com/corepack.
2026-04-09T16:06:06.856809Z  INFO semver_analyzer::orchestrator: Created dep repo worktree for CSS extraction dep_repo=/tmp/semver-pipeline-v2/repos/patternfly dep_ref=v6.4.0 worktree=/private/tmp/semver-pipeline-v2/repos/patternfly/.semver-worktrees/v6.4.0
2026-04-09T16:06:06.877152Z  INFO semver_analyzer::orchestrator: Detected removed CSS component blocks between dep-repo versions count=8 blocks=["AppLauncher", "Chip", "ContextSelector", "Dropdown", "LogViewer", "NotificationBadge", "OptionsMenu", "Select"]
2026-04-09T16:06:06.880394Z  INFO semver_analyzer_ts::css_profile: CSS profiles extracted from dir profiles=0
2026-04-09T16:06:08.171506Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=AlertGroupInline changes=5
2026-04-09T16:06:08.211146Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=AlertToggleExpandButton changes=1
2026-04-09T16:06:08.229991Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=Avatar changes=4
2026-04-09T16:06:08.262043Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=BackToTop changes=1
2026-04-09T16:06:08.310382Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=Badge changes=2
2026-04-09T16:06:08.331437Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=Banner changes=1
2026-04-09T16:06:08.398284Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=BreadcrumbHeading changes=2
2026-04-09T16:06:08.449849Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=Button changes=20
2026-04-09T16:06:08.501145Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=CalendarMonth changes=4
2026-04-09T16:06:08.543001Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=Card changes=16
2026-04-09T16:06:08.642841Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=CardHeader changes=9
2026-04-09T16:06:08.810802Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=ClipboardCopy changes=5
2026-04-09T16:06:08.847189Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=ClipboardCopyButton changes=2
2026-04-09T16:06:08.869246Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=ClipboardCopyExpanded changes=1
2026-04-09T16:06:08.887188Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=ClipboardCopyToggle changes=3
2026-04-09T16:06:08.981262Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=DataList changes=1
2026-04-09T16:06:08.998163Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=DataListAction changes=1
2026-04-09T16:06:09.016975Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=DataListCell changes=2
2026-04-09T16:06:09.038811Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=DataListCheck changes=11
2026-04-09T16:06:09.123219Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=DataListItem changes=1
2026-04-09T16:06:09.160645Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=DataListItemRow changes=1
2026-04-09T16:06:09.178393Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=DataListText changes=1
2026-04-09T16:06:09.235777Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=DatePicker changes=5
2026-04-09T16:06:09.364281Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=Divider changes=1
2026-04-09T16:06:09.444554Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=DrawerContent changes=6
2026-04-09T16:06:09.474697Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=DrawerHead changes=3
2026-04-09T16:06:09.548252Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=DrawerPanelContent changes=6
2026-04-09T16:06:09.577933Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=DrawerSection changes=2
2026-04-09T16:06:09.601199Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=Dropdown changes=3
2026-04-09T16:06:09.696888Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=DualListSelector changes=11
2026-04-09T16:06:09.719034Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=DualListSelectorControl changes=1
2026-04-09T16:06:09.800144Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=DualListSelectorListWrapper changes=1
2026-04-09T16:06:09.826535Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=DualListSelectorPane changes=8
2026-04-09T16:06:09.845433Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=DualListSelectorTree changes=1
2026-04-09T16:06:09.868230Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=DualListSelectorTreeItem changes=1
2026-04-09T16:06:09.887232Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=EmptyState changes=5
2026-04-09T16:06:09.953365Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=EmptyStateHeader changes=3
2026-04-09T16:06:09.998643Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=ExpandableSection changes=15
2026-04-09T16:06:10.021544Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=ExpandableSectionToggle changes=13
2026-04-09T16:06:10.075339Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=FileUploadField changes=3
2026-04-09T16:06:10.245077Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=FormFieldGroupToggle changes=1
2026-04-09T16:06:10.267853Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=FormGroup changes=3
2026-04-09T16:06:10.344932Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=InternalFormFieldGroup changes=1
2026-04-09T16:06:10.465681Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=HelperTextItem changes=12
2026-04-09T16:06:10.483374Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=Hint changes=2
2026-04-09T16:06:10.675729Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=JumpLinks changes=7
2026-04-09T16:06:10.699878Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=JumpLinksItem changes=3
2026-04-09T16:06:10.756709Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=Label changes=12
2026-04-09T16:06:10.797636Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=LabelGroup changes=5
2026-04-09T16:06:10.821417Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=List changes=3
2026-04-09T16:06:10.840561Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=ListItem changes=2
2026-04-09T16:06:10.983690Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=LoginForm changes=1
2026-04-09T16:06:11.077248Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=LoginMainFooterLinksItem changes=5
2026-04-09T16:06:11.096305Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=LoginMainHeader changes=2
2026-04-09T16:06:11.117693Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=LoginPage changes=3
2026-04-09T16:06:11.137987Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=Masthead changes=3
2026-04-09T16:06:11.155925Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=MastheadBrand changes=3
2026-04-09T16:06:11.288045Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=Menu changes=1
2026-04-09T16:06:11.329496Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=MenuContainer changes=3
2026-04-09T16:06:11.392889Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=MenuGroup changes=1
2026-04-09T16:06:11.443124Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=MenuItem changes=6
2026-04-09T16:06:11.467029Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=MenuItemAction changes=12
2026-04-09T16:06:11.550114Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=MenuToggle changes=6
2026-04-09T16:06:11.660138Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=ModalBox changes=1
2026-04-09T16:06:11.678511Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=ModalBoxCloseButton changes=1
2026-04-09T16:06:11.717117Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=ModalBoxTitle changes=2
2026-04-09T16:06:11.742308Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=ModalContent changes=22
2026-04-09T16:06:11.879853Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=MultipleFileUploadStatus changes=2
2026-04-09T16:06:11.906640Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=MultipleFileUploadStatusItem changes=4
2026-04-09T16:06:12.021524Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=Nav changes=5
2026-04-09T16:06:12.046328Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=NavExpandable changes=2
2026-04-09T16:06:12.099019Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=NavItem changes=5
2026-04-09T16:06:12.122239Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=NavItemSeparator changes=2
2026-04-09T16:06:12.146734Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=NavList changes=8
2026-04-09T16:06:12.166290Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=NotificationBadge changes=7
2026-04-09T16:06:12.276791Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=NotificationDrawerHeader changes=3
2026-04-09T16:06:12.338491Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=NotificationDrawerListItemBody changes=3
2026-04-09T16:06:12.365329Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=NotificationDrawerListItemHeader changes=5
2026-04-09T16:06:12.393253Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=NumberInput changes=2
2026-04-09T16:06:12.590045Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=Page changes=12
2026-04-09T16:06:12.691540Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=PageBreadcrumb changes=5
2026-04-09T16:06:12.741378Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=PageGroup changes=2
2026-04-09T16:06:12.791547Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=PageSection changes=10
2026-04-09T16:06:12.811256Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=PageSidebar changes=2
2026-04-09T16:06:12.840244Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=PageSidebarBody changes=1
2026-04-09T16:06:12.860939Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=PageToggleButton changes=1
2026-04-09T16:06:12.898103Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=Pagination changes=4
2026-04-09T16:06:12.956902Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=PaginationOptionsMenu changes=4
2026-04-09T16:06:12.977397Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=ToggleTemplate changes=2
2026-04-09T16:06:12.998603Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=Panel changes=3
2026-04-09T16:06:13.379381Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=ProgressBar changes=1
2026-04-09T16:06:13.403798Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=ProgressContainer changes=3
2026-04-09T16:06:13.580707Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=SearchInput changes=2
2026-04-09T16:06:13.616070Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=Select changes=3
2026-04-09T16:06:13.727565Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=SidebarContent changes=1
2026-04-09T16:06:13.749776Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=SidebarPanel changes=1
2026-04-09T16:06:13.813931Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=SimpleListItem changes=1
2026-04-09T16:06:13.935810Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=Spinner changes=1
2026-04-09T16:06:13.962612Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=Switch changes=8
2026-04-09T16:06:13.992164Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=OverflowTab changes=4
2026-04-09T16:06:14.097825Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=TabContent changes=2
2026-04-09T16:06:14.132170Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=TabTitleIcon changes=2
2026-04-09T16:06:14.211128Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=Tabs changes=9
2026-04-09T16:06:14.316094Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=TextArea changes=1
2026-04-09T16:06:14.435051Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=TextInputGroupMain changes=3
2026-04-09T16:06:14.560419Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=Title changes=3
2026-04-09T16:06:14.602450Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=ToggleGroupItem changes=3
2026-04-09T16:06:14.658497Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=Toolbar changes=7
2026-04-09T16:06:14.681368Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=ToolbarContent changes=3
2026-04-09T16:06:14.725835Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=ToolbarExpandableContent changes=1
2026-04-09T16:06:14.754674Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=ToolbarFilter changes=7
2026-04-09T16:06:14.818961Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=ToolbarItem changes=3
2026-04-09T16:06:15.012428Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=TreeViewList changes=2
2026-04-09T16:06:15.051240Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=TreeViewListItem changes=2
2026-04-09T16:06:15.079368Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=TreeViewRoot changes=1
2026-04-09T16:06:15.125439Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=Truncate changes=8
2026-04-09T16:06:15.161322Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=Wizard changes=1
2026-04-09T16:06:15.241284Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=WizardFooter changes=5
2026-04-09T16:06:15.263627Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=WizardHeader changes=1
2026-04-09T16:06:15.324000Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=WizardNavInternal changes=2
2026-04-09T16:06:15.349250Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=WizardNavItem changes=6
2026-04-09T16:06:15.397897Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=WizardToggle changes=10
2026-04-09T16:06:16.859771Z DEBUG sd_pipeline{from_ref=v5.4.0 to_ref=v6.4.1}: semver_analyzer_ts::sd_pipeline: source-level changes detected component=WizardFooterInternal changes=5
